round,pick,predicted_player,actual_player,residual
1,1,Zion Williamson,Zion Williamson,0
1,2,Ignas Brazdeikis,Ja Morant,45
1,3,De'Andre Hunter,RJ Barrett,1
1,4,Darius Garland,De'Andre Hunter,1
1,5,Coby White,Darius Garland,2
1,6,Nick Ward,Jarrett Culver,N/A
1,7,Cam Reddish,Coby White,3
1,8,Jaquan Dotson,Jaxson Hayes,N/A
1,9,Lew Stallworth,Rui Hachimura,N/A
1,10,Jaxson Hayes,Cam Reddish,-2
1,11,Mike Daum,Cameron Johnson,N/A
1,12,Nick Emery,P.J. Washington,N/A
1,13,Tyler Herro,Tyler Herro,0
1,14,Alex Copeland,Romeo Langford,N/A
1,15,Chuma Okeke,Sekou Doumbouya,1
1,16,Caleb Stewart,Chuma Okeke,N/A
1,17,Nickeil Alexander-Walker,Nickeil Alexander-Walker,0
1,18,Romeo Langford,Goga Bitadze,-4
1,19,Ja Morant,Luka Šamanić,-17
1,20,Brandon Clarke,Matisse Thybulle,1
1,21,Michael Oguine,Brandon Clarke,N/A
1,22,Grant Williams,Grant Williams,0
1,23,Ty Jerome,Darius Bazley,1
1,24,James Thompson IV,Ty Jerome,N/A
1,25,James Batemon,Nassir Little,N/A
1,26,Nassir Little,Dylan Windler,-1
1,27,Mfiondu Kabengele,Mfiondu Kabengele,0
1,28,Keldon Johnson,Jordan Poole,1
1,29,Nicolas Claxton,Keldon Johnson,2
1,30,Matt Rafferty,Kevin Porter Jr.,N/A
2,31,Carsen Edwards,Nicolas Claxton,2
2,32,Bruno Fernando,KZ Okpala,2
2,33,Devontae Cacok,Carsen Edwards,N/A
2,34,Aric Holman,Bruno Fernando,N/A
2,35,Elvin Rodriguez,Didi Louzada,N/A
2,36,Justin James,Cody Martin,4
2,37,Eric Paschall,Deividas Sirvydis,4
2,38,Admiral Schofield,Daniel Gafford,4
2,39,Jaylen Nowell,Alen Smailagić,4
2,40,Bol Bol,Justin James,4
2,41,Isaiah Walton,Eric Paschall,N/A
2,42,Isaiah Roby,Admiral Schofield,3
2,43,Talen Horton-Tucker,Jaylen Nowell,3
2,44,Phil Booth,Bol Bol,N/A
2,45,Joe Sherburne,Isaiah Roby,N/A
2,46,Evan Fitzner,Talen Horton-Tucker,N/A
2,47,Quinndary Weatherspoon,Ignas Brazdeikis,2
2,48,Jarrell Brantley,Terance Mann,2
2,49,Levi Bradley,Quinndary Weatherspoon,N/A
2,50,Tremont Waters,Jarrell Brantley,1
2,51,Jalen McDaniels,Tremont Waters,1
2,52,Matisse Thybulle,Jalen McDaniels,-32
2,53,Justin Wright-Foreman,Justin Wright-Foreman,0
2,54,Brian Beard,Marial Shayok,N/A
2,55,Mike Cunningham,Kyle Guy,N/A
2,56,Tayler Persons,Jaylen Hands,N/A
2,57,Kyle Guy,Jordan Bone,-2
2,58,Devin Mitchell,Miye Oni,N/A
2,59,Deishuan Booker,Dewan Hernandez,N/A
2,60,Jordan Bone,Vanja Marinković,-3
